[0.000000] (-) TimerEvent: {}
[0.000582] (-) JobUnselected: {'identifier': 'build_scene_package'}
[0.000630] (-) JobUnselected: {'identifier': 'iiwa_config_moveit_config'}
[0.000661] (-) JobUnselected: {'identifier': 'nodes'}
[0.000674] (-) JobUnselected: {'identifier': 'robot_skills'}
[0.000710] (-) JobUnselected: {'identifier': 'validate_trajectory'}
[0.000754] (iiwa_description) JobQueued: {'identifier': 'iiwa_description', 'dependencies': OrderedDict()}
[0.061339] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Bilancia.stl\n'}
[0.061420] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Monitor.stl\n'}
[0.061500] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Deimpilatore_piatti.stl\n'}
[0.061579] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Trasportatore1.stl\n'}
[0.061660] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Tavolo_inox2.stl\n'}
[0.061736] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/S.A.P.O.R.E_rev1..stl\n'}
[0.061869] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Frigorifero.stl\n'}
[0.061950] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/QE.stl\n'}
[0.062027] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Pavimento1.stl\n'}
[0.062110] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Contenitori.stl\n'}
[0.062191] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Tavolo_inox.stl\n'}
[0.062269] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/iiwa 14 R820 - MF Inside elektrisch.stl\n'}
[0.062347] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Lavabo.stl\n'}
[0.062445] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Crossed Arms Man v2.stl\n'}
[0.062561] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/PC Gestionale.stl\n'}
[0.062641] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Piatto.stl\n'}
[0.062720] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Roboqbo.stl\n'}
[0.062797] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/ContenitoreSingolo.stl\n'}
[0.062876] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/calf_3dprint.stl\n'}
[0.062955] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle\n'}
[0.063090] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo.stl\n'}
[0.063206] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Trasportatore1.stl\n'}
[0.063466] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Rastrelliera.stl\n'}
[0.063553] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo1.stl\n'}
[0.063628] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/male.stl\n'}
[0.063704] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo2.stl\n'}
[0.063779] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Rastrelliere.stl\n'}
[0.063855] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/finger_right.stl\n'}
[0.063929] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/CellaSapore2.stl\n'}
[0.064005] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/schunk.stl\n'}
[0.064493] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800\n'}
[0.064676] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800/flex_fellow_h800.stl\n'}
[0.064754] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800/flex_fellow_h800.dae\n'}
[0.064830] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/Busto.stl\n'}
[0.064924] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/rviz\n'}
[0.065001] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/rviz/iiwa.rviz\n'}
[0.065084] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/config_urdf\n'}
[0.065163] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/config_urdf/dual_iiwa.config.xacro\n'}
[0.065354] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch\n'}
[0.065434] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch/dual_iiwa.launch.py\n'}
[0.065516] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch/view_iiwa.launch.py\n'}
[0.065592] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/package_run_dependencies/iiwa_description\n'}
[0.065669] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/parent_prefix_path/iiwa_description\n'}
[0.065748] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/ament_prefix_path.sh\n'}
[0.065825] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/ament_prefix_path.dsv\n'}
[0.065901] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/path.sh\n'}
[0.065976] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/path.dsv\n'}
[0.066058] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.bash\n'}
[0.066141] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.sh\n'}
[0.066219] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.zsh\n'}
[0.066297] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.dsv\n'}
[0.066459] (iiwa_description) StdoutLine: {'line': b'-- Installing: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/package.dsv\n'}
[0.066539] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/packages/iiwa_description\n'}
[0.066619] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/cmake/iiwa_descriptionConfig.cmake\n'}
[0.066699] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/cmake/iiwa_descriptionConfig-version.cmake\n'}
[0.066777] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/package.xml\n'}
[0.066868] (iiwa_description) CommandEnded: {'returncode': 0}
[0.078856] (iiwa_description) JobEnded: {'identifier': 'iiwa_description', 'rc': 0}
[0.079585] (-) EventReactorShutdown: {}
