[0.000000] (-) TimerEvent: {}
[0.000186] (-) JobUnselected: {'identifier': 'build_scene_package'}
[0.000236] (-) JobUnselected: {'identifier': 'iiwa_config_moveit_config'}
[0.000367] (-) JobUnselected: {'identifier': 'nodes'}
[0.000380] (-) JobUnselected: {'identifier': 'robot_skills'}
[0.000390] (-) JobUnselected: {'identifier': 'validate_trajectory'}
[0.000402] (iiwa_description) JobQueued: {'identifier': 'iiwa_description', 'dependencies': OrderedDict()}
[0.054854] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Bilancia.stl\n'}
[0.054903] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Monitor.stl\n'}
[0.054954] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Deimpilatore_piatti.stl\n'}
[0.055004] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Trasportatore1.stl\n'}
[0.055051] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Tavolo_inox2.stl\n'}
[0.055097] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/S.A.P.O.R.E_rev1..stl\n'}
[0.055145] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Frigorifero.stl\n'}
[0.055195] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/QE.stl\n'}
[0.055244] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Pavimento1.stl\n'}
[0.055292] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Contenitori.stl\n'}
[0.055376] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Tavolo_inox.stl\n'}
[0.055425] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/iiwa 14 R820 - MF Inside elektrisch.stl\n'}
[0.055471] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Lavabo.stl\n'}
[0.055520] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Crossed Arms Man v2.stl\n'}
[0.055567] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/PC Gestionale.stl\n'}
[0.055614] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Piatto.stl\n'}
[0.055658] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Roboqbo.stl\n'}
[0.055703] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/ContenitoreSingolo.stl\n'}
[0.055747] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/calf_3dprint.stl\n'}
[0.055791] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle\n'}
[0.055842] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo.stl\n'}
[0.055887] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Trasportatore1.stl\n'}
[0.055936] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Rastrelliera.stl\n'}
[0.055985] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo1.stl\n'}
[0.056031] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/male.stl\n'}
[0.056077] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_roboqbo2.stl\n'}
[0.056126] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_obstacle/bounding_primitive_Rastrelliere.stl\n'}
[0.056172] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/finger_right.stl\n'}
[0.056221] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/CellaSapore2.stl\n'}
[0.056266] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/schunk.stl\n'}
[0.056314] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800\n'}
[0.056370] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800/flex_fellow_h800.stl\n'}
[0.056419] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/flex_fellow_h800/flex_fellow_h800.dae\n'}
[0.056467] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/Busto.stl\n'}
[0.056552] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/rviz\n'}
[0.056600] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/rviz/iiwa.rviz\n'}
[0.056650] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/config_urdf\n'}
[0.056695] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/config_urdf/dual_iiwa.config.xacro\n'}
[0.056752] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch\n'}
[0.056799] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch/dual_iiwa.launch.py\n'}
[0.056849] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/launch/view_iiwa.launch.py\n'}
[0.056896] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/package_run_dependencies/iiwa_description\n'}
[0.056943] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/parent_prefix_path/iiwa_description\n'}
[0.056992] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/ament_prefix_path.sh\n'}
[0.057040] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/ament_prefix_path.dsv\n'}
[0.057086] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/path.sh\n'}
[0.057135] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/environment/path.dsv\n'}
[0.057183] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.bash\n'}
[0.057230] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.sh\n'}
[0.057277] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.zsh\n'}
[0.057326] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/local_setup.dsv\n'}
[0.057386] (iiwa_description) StdoutLine: {'line': b'-- Installing: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/package.dsv\n'}
[0.057431] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/ament_index/resource_index/packages/iiwa_description\n'}
[0.057475] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/cmake/iiwa_descriptionConfig.cmake\n'}
[0.057526] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/cmake/iiwa_descriptionConfig-version.cmake\n'}
[0.057574] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/package.xml\n'}
[0.058049] (iiwa_description) CommandEnded: {'returncode': 0}
[0.072838] (iiwa_description) JobEnded: {'identifier': 'iiwa_description', 'rc': 0}
[0.073399] (-) EventReactorShutdown: {}
